"filename", "language", "JSON with Comments", "SCSS", "TypeScript", "JSON", "HTML", "Markdown", "CSV", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 101
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\results.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.embold\vscode-logs.log", "Log", 0, 0, 0, 0, 0, 0, 0, 19951, 0, 77, 20028
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 28
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\angular.json", "JSON", 0, 0, 0, 127, 0, 0, 0, 0, 0, 1, 128
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\package-lock.json", "JSON", 0, 0, 0, 13542, 0, 0, 0, 0, 0, 1, 13543
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\package.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\server.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 6, 11, 57
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app-routing.module.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.html", "HTML", 0, 0, 0, 0, 134, 0, 0, 0, 0, 1, 135
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.scss", "SCSS", 0, 57, 0, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.spec.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.module.server.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.module.ts", "TypeScript", 0, 0, 123, 0, 0, 0, 0, 0, 0, 4, 127
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.html", "HTML", 0, 0, 0, 0, 186, 0, 0, 0, 0, 4, 190
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.scss", "SCSS", 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.ts", "TypeScript", 0, 0, 275, 0, 0, 0, 0, 0, 0, 20, 295
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.html", "HTML", 0, 0, 0, 0, 283, 0, 0, 0, 0, 6, 289
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.scss", "SCSS", 0, 146, 0, 0, 0, 0, 0, 0, 0, 25, 171
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.ts", "TypeScript", 0, 0, 442, 0, 0, 0, 0, 0, 0, 22, 464
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.html", "HTML", 0, 0, 0, 0, 384, 0, 0, 0, 0, 15, 399
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
