"filename", "language", "C#", "JSON", "MSBuild", "EditorConfig", "SQL", "Solution File", "HTTP", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110353_EmailConfirmfix.Designer.cs", "C#", 313, 0, 0, 0, 0, 0, 0, 0, 2, 111, 426
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110353_EmailConfirmfix.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 3, 3, 39
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110724_EmailConfirmfixv2.Designer.cs", "C#", 312, 0, 0, 0, 0, 0, 0, 0, 2, 111, 425
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309110724_EmailConfirmfixv2.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 3, 3, 38
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309141517_auctionLikes.Designer.cs", "C#", 315, 0, 0, 0, 0, 0, 0, 0, 2, 112, 429
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309141517_auctionLikes.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309164102_auctionComments.Designer.cs", "C#", 350, 0, 0, 0, 0, 0, 0, 0, 2, 124, 476
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309164102_auctionComments.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 3, 4, 51
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309182852_auctionCommentsv2.Designer.cs", "C#", 350, 0, 0, 0, 0, 0, 0, 0, 2, 124, 476
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309182852_auctionCommentsv2.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 3, 13, 80
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309185752_auctionCommentsv3.Designer.cs", "C#", 350, 0, 0, 0, 0, 0, 0, 0, 2, 124, 476
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309185752_auctionCommentsv3.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309190226_auctionCommentsv4.Designer.cs", "C#", 350, 0, 0, 0, 0, 0, 0, 0, 2, 124, 476
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309190226_auctionCommentsv4.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.Designer.cs", "C#", 350, 0, 0, 0, 0, 0, 0, 0, 2, 124, 476
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.Designer.cs", "C#", 369, 0, 0, 0, 0, 0, 0, 0, 2, 132, 503
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 3, 4, 41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.Designer.cs", "C#", 372, 0, 0, 0, 0, 0, 0, 0, 2, 133, 507
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.Designer.cs", "C#", 369, 0, 0, 0, 0, 0, 0, 0, 2, 132, 503
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321111253_PaypalConfirmation.Designer.cs", "C#", 371, 0, 0, 0, 0, 0, 0, 0, 2, 133, 506
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321111253_PaypalConfirmation.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240322095802_RomovedPaypalEmail.Designer.cs", "C#", 369, 0, 0, 0, 0, 0, 0, 0, 2, 132, 503
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240322095802_RomovedPaypalEmail.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323144525_Payment.Designer.cs", "C#", 402, 0, 0, 0, 0, 0, 0, 0, 2, 145, 549
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323144525_Payment.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 3, 5, 54
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323145205_UpdatePayment.Designer.cs", "C#", 404, 0, 0, 0, 0, 0, 0, 0, 2, 146, 552
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323145205_UpdatePayment.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
