"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\login\login.component.html", "HTML", 0, 0, 126, 1, 1, 128
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\login\login.component.scss", "SCSS", 29, 0, 0, 0, 4, 33
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\login\login.component.ts", "TypeScript", 0, 113, 0, 0, 4, 117
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\payment\payment.component.html", "HTML", 0, 0, 58, 0, 2, 60
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\payment\payment.component.scss", "SCSS", 38, 0, 0, 0, 7, 45
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\payment\payment.component.ts", "TypeScript", 0, 121, 0, 0, 6, 127
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\profile-check\profile-check.component.html", "HTML", 0, 0, 9, 1, 1, 11
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\profile-check\profile-check.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\profile-check\profile-check.component.ts", "TypeScript", 0, 48, 0, 0, 4, 52
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\register\register.component.html", "HTML", 0, 0, 106, 0, 1, 107
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\register\register.component.scss", "SCSS", 42, 0, 0, 0, 6, 48
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\register\register.component.ts", "TypeScript", 0, 61, 0, 0, 5, 66
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\report-modal\report-modal.component.html", "HTML", 0, 0, 24, 0, 1, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\report-modal\report-modal.component.scss", "SCSS", 33, 0, 0, 0, 8, 41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\report-modal\report-modal.component.ts", "TypeScript", 0, 33, 0, 0, 3, 36
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\reset\reset.component.html", "HTML", 0, 0, 76, 0, 4, 80
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\reset\reset.component.scss", "SCSS", 13, 0, 0, 0, 2, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\reset\reset.component.ts", "TypeScript", 0, 72, 0, 0, 7, 79
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\single-auction\single-auction.component.html", "HTML", 0, 0, 78, 0, 1, 79
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\single-auction\single-auction.component.scss", "SCSS", 53, 0, 0, 0, 10, 63
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\single-auction\single-auction.component.ts", "TypeScript", 0, 30, 0, 0, 3, 33
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\user-profile\user-profile.component.html", "HTML", 0, 0, 274, 0, 21, 295
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\user-profile\user-profile.component.scss", "SCSS", 20, 0, 0, 0, 5, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\user-profile\user-profile.component.ts", "TypeScript", 0, 106, 0, 0, 9, 115
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\guard\admin.guard.ts", "TypeScript", 0, 17, 0, 0, 3, 20
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\guard\check.guard.ts", "TypeScript", 0, 17, 0, 0, 3, 20
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\interceptors\cachingInterceptor.ts", "TypeScript", 0, 33, 0, 0, 3, 36
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\interceptors\jwt.interceptor.ts", "TypeScript", 0, 27, 0, 10, 3, 40
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\interceptors\loading.ts", "TypeScript", 0, 31, 0, 0, 4, 35
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\auction.model.ts", "TypeScript", 0, 33, 0, 0, 2, 35
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\chat.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\comment.model.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\decoded-token-result.model.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\grouped-report.model.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\message.ts", "TypeScript", 0, 9, 0, 0, 1, 10
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\payment.model.ts", "TypeScript", 0, 16, 0, 0, 1, 17
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\report.model.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\reset-password.model.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\user.model.ts", "TypeScript", 0, 18, 0, 0, 1, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\admin.service.ts", "TypeScript", 0, 49, 0, 0, 8, 57
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\auction.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\auction.service.ts", "TypeScript", 0, 74, 0, 0, 14, 88
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\bid.service.ts", "TypeScript", 0, 47, 0, 0, 10, 57
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\chat.service.ts", "TypeScript", 0, 54, 0, 0, 9, 63
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\comment.service.ts", "TypeScript", 0, 20, 0, 0, 5, 25
