"filename", "language", "MSBuild", "C#", "CSS", "EditorConfig", "JSON", "HTML", "XML", "JavaScript", "SQL", "HTTP", "Solution File", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309190226_auctionCommentsv4.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.Designer.cs", "C#", 0, -350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -124, -476
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.Designer.cs", "C#", 0, -369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -132, -503
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.cs", "C#", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -39
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.Designer.cs", "C#", 0, -372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -133, -507
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.cs", "C#", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.Designer.cs", "C#", 0, -369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -132, -503
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.cs", "C#", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321111253_PaypalConfirmation.Designer.cs", "C#", 0, -371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -133, -506
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321111253_PaypalConfirmation.cs", "C#", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -29
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240322095802_RomovedPaypalEmail.Designer.cs", "C#", 0, -369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -132, -503
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240322095802_RomovedPaypalEmail.cs", "C#", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -29
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323144525_Payment.Designer.cs", "C#", 0, -402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -145, -549
